Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,10233.559570,10276.589844,10209.200195,10229.919922,10229.919922,0
2020-08-21,10266.370117,10286.219727,10169.660156,10218.200195,10218.200195,0
2020-08-24,10313.660156,10356.750000,10280.940430,10308.389648,10308.389648,0
2020-08-25,10330.099609,10346.730469,10231.250000,10231.250000,10231.250000,0
2020-08-26,10205.179688,10321.320313,10202.129883,10309.650391,10309.650391,0
2020-08-27,10312.929688,10331.429688,10240.459961,10240.459961,10240.459961,0
2020-08-28,10233.480469,10254.400391,10147.150391,10164.490234,10164.490234,0
2020-08-31,10196.209961,10245.019531,10132.809570,10135.559570,10135.559570,0
2020-09-01,10228.969727,10283.110352,10154.379883,10188.849609,10188.849609,0
2020-09-02,10262.259766,10415.620117,10254.599609,10384.839844,10384.839844,0
2020-09-03,10452.099609,10511.129883,10195.839844,10220.639648,10220.639648,0
2020-09-04,10146.490234,10309.549805,10091.980469,10153.089844,10153.089844,0
2020-09-07,10211.950195,10341.870117,10204.419922,10297.799805,10297.799805,39089800
2020-09-08,10320.839844,10342.459961,10150.440430,10250.440430,10250.440430,0
2020-09-09,10290.049805,10430.639648,10274.349609,10406.570313,10406.570313,0
2020-09-10,10394.809570,10425.799805,10333.530273,10387.440430,10387.440430,0
2020-09-11,10358.610352,10474.330078,10356.280273,10439.519531,10439.519531,0
2020-09-14,10482.389648,10494.860352,10405.959961,10457.429688,10457.429688,0
2020-09-15,10476.919922,10562.019531,10452.910156,10520.000000,10520.000000,0
2020-09-16,10519.740234,10580.379883,10519.030273,10552.040039,10552.040039,0
2020-09-17,10441.940430,10544.349609,10438.610352,10519.330078,10519.330078,0
2020-09-18,10532.259766,10591.660156,10508.309570,10539.169922,10539.169922,0
2020-09-21,10470.299805,10495.490234,10276.500000,10325.440430,10325.440430,0
2020-09-22,10364.150391,10403.549805,10318.320313,10355.570313,10355.570313,0
2020-09-23,10368.650391,10439.740234,10327.540039,10330.059570,10330.059570,0
2020-09-24,10237.459961,10269.129883,10156.049805,10211.530273,10211.530273,0
2020-09-25,10226.809570,10249.070313,10118.080078,10216.280273,10216.280273,0
2020-09-28,10336.500000,10359.639648,10261.429688,10308.669922,10308.669922,0
2020-09-29,10266.480469,10284.929688,10216.419922,10229.299805,10229.299805,0
2020-09-30,10183.269531,10266.969727,10169.780273,10187.000000,10187.000000,0
2020-10-01,10256.950195,10312.370117,10209.990234,10238.120117,10238.120117,0
2020-10-02,10143.639648,10252.400391,10130.790039,10252.400391,10252.400391,0
2020-10-05,10329.660156,10345.330078,10273.360352,10303.059570,10303.059570,0
2020-10-06,10292.669922,10295.059570,10197.469727,10233.160156,10233.160156,0
2020-10-07,10227.259766,10268.250000,10158.190430,10187.879883,10187.879883,0
2020-10-08,10229.919922,10307.889648,10195.620117,10270.240234,10270.240234,0
2020-10-09,10288.530273,10331.200195,10276.910156,10320.030273,10320.030273,0
2020-10-12,10323.759766,10390.400391,10312.379883,10364.099609,10364.099609,0
2020-10-13,10371.209961,10407.009766,10316.620117,10336.360352,10336.360352,0
2020-10-14,10360.769531,10386.030273,10275.139648,10292.660156,10292.660156,0
2020-10-15,10173.780273,10173.780273,10032.469727,10067.959961,10067.959961,0
2020-10-16,10116.860352,10251.580078,10111.250000,10207.129883,10207.129883,0
2020-10-19,10263.169922,10291.280273,10183.419922,10184.360352,10184.360352,0
2020-10-20,10169.879883,10204.980469,10122.519531,10146.230469,10146.230469,0
2020-10-21,10147.419922,10159.700195,9989.750000,9989.750000,9989.750000,0
2020-10-22,9943.730469,9999.049805,9890.110352,9999.049805,9999.049805,56533300
2020-10-23,9978.500000,10061.450195,9971.370117,10023.900391,10023.900391,63848800
2020-10-26,9956.349609,10029.969727,9946.929688,9985.620117,9985.620117,55498900
2020-10-27,9978.509766,10000.559570,9861.839844,9887.490234,9887.490234,62059800
2020-10-28,9803.240234,9803.410156,9563.080078,9618.650391,9618.650391,84886400
2020-10-29,9660.419922,9670.650391,9496.219727,9556.139648,9556.139648,82863100
2020-10-30,9504.059570,9587.150391,9494.519531,9587.150391,9587.150391,76409800
2020-11-02,9595.660156,9802.570313,9556.929688,9791.679688,9791.679688,63103500
2020-11-03,9821.129883,10003.820313,9817.230469,10003.820313,10003.820313,77857500
2020-11-04,9996.549805,10301.269531,9982.259766,10286.790039,10286.790039,80496900
2020-11-05,10333.610352,10381.019531,10268.910156,10306.349609,10306.349609,66638300
2020-11-06,10263.309570,10350.379883,10221.650391,10322.570313,10322.570313,58135700
2020-11-09,10405.969727,10644.219727,10350.049805,10417.990234,10417.990234,117789800
2020-11-10,10389.839844,10422.669922,10310.419922,10360.690430,10360.690430,119435300
2020-11-11,10369.429688,10558.629883,10367.219727,10532.269531,10532.269531,67520600
2020-11-12,10473.440430,10561.349609,10459.410156,10496.200195,10496.200195,59545100
2020-11-13,10494.450195,10513.900391,10464.099609,10492.610352,10492.610352,53386000
2020-11-16,10482.559570,10590.730469,10460.690430,10586.740234,10586.740234,85383100
2020-11-17,10582.200195,10628.410156,10540.719727,10565.120117,10565.120117,72691100
2020-11-18,10532.580078,10619.259766,10501.410156,10563.889648,10563.889648,58946700
2020-11-19,10475.429688,10517.080078,10468.410156,10490.769531,10490.769531,64913500
2020-11-20,10484.839844,10528.330078,10450.610352,10495.650391,10495.650391,68354200
2020-11-23,10529.889648,10553.320313,10453.910156,10464.400391,10464.400391,64019800
2020-11-24,10509.759766,10514.959961,10435.019531,10491.589844,10491.589844,77387500
2020-11-25,10500.110352,10543.259766,10481.980469,10488.269531,10488.269531,80364600
2020-11-26,10511.519531,10524.820313,10494.690430,10497.790039,10497.790039,41709200
2020-11-27,10496.299805,10505.790039,10452.139648,10501.179688,10501.179688,49216200
2020-11-30,10471.429688,10551.160156,10452.509766,10476.429688,10476.429688,89565800
2020-12-01,10473.330078,10495.179688,10421.099609,10449.209961,10449.209961,65052200
2020-12-02,10423.410156,10476.349609,10403.540039,10435.360352,10435.360352,67861900
2020-12-03,10429.879883,10452.830078,10325.530273,10342.629883,10342.629883,63801500
2020-12-04,10369.089844,10392.179688,10338.910156,10364.500000,10364.500000,108992400
2020-12-07,10375.019531,10422.959961,10337.419922,10375.379883,10375.379883,49305400
